Index,Date,Average_resistivity_bot(ohm*m),Error_resistivity_bot(ohm*m),Average_resistivity_top(ohm*m),Error_resistivity_top(ohm*m)
1,2021.02.06,1.87E+10,3.60E+08,2.99E+10,2.37E+08
2,2021.08.05,2.59E+10,2.43E+09,4.14E+10,4.45E+08
